OS: Chemical tanker 1 (Dis.44288t)
Trainee: 
Exercise name: RfAF Anholt_3_OS_RUN_1
Area: Great Belt 6000
Exercise start time: 12:00:00
Exercise date: 10/6/2020
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.7.0

time,Local position X,Local position Y,Heading,Wind effect. Longitudinal force,Wind effect. Lateral force,Wind effect. Pitching moment,Hydrodynamics. Longitudinal force,Hydrodynamics. Lateral force,Hydrodynamics. Pitching moment,Wave effect. Longitudinal force,Wave effect. Lateral force,Wave effect. Pitching moment,Ship-Bank interaction. Longitudinal force,Ship-Bank interaction. Lateral force,Ship-Bank interaction. Pitching moment,Fender. Longitudinal force,Fender. Lateral force,Fender. Pitching moment,Total force from all the mooring lines. Longitudinal force,Total force from all the mooring lines. Lateral force,Total force from all the mooring lines. Pitching moment,Port anchor. Longitudinal force,Port anchor. Lateral force,Port anchor. Pitching moment,Starboard anchor. Longitudinal force,Starboard anchor. Lateral force,Starboard anchor. Pitching moment,Ship-Ship interaction. Longitudinal force,Ship-Ship interaction. Lateral force,Ship-Ship interaction. Pitching moment,Propeller. Longitudal force,Propeller. Lateral force,Propeller. Pitching moment,Bow thruster. Longitudinal force,Bow thruster. Lateral force,Bow thruster. Pitching moment,Stern thruster. Longitudinal force,Stern thruster. Lateral force,Stern thruster. Pitching moment,Rudders (all). Longitudal force,Rudders (all). Lateral force,Rudders (all). Pitching moment
,meters,meters,degrees,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m
00:00:00,"18,726.35","94,084.01","203.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:01,"18,723.87","94,078.19","203.00","-0.67","-0.15","0.24","-77.18","-0.46","-17.48","0.00","0.00","0.00","0.00","2.61","701.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.28","1.22","-142.65"
00:00:02,"18,720.94","94,071.32","203.00","-0.67","-0.14","0.24","-77.21","2.12","-74.30","0.00","0.00","0.00","0.00","2.61","701.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","72.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.34","2.29","-264.37"
00:00:03,"18,718.03","94,064.46","203.01","-0.67","-0.14","0.23","-77.17","3.29","-112.81","0.00","0.00","0.00","0.00","2.60","699.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","69.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.40","3.11","-357.21"
00:00:04,"18,715.11","94,057.59","203.02","-0.67","-0.14","0.24","-77.05","2.30","-125.38","0.00","0.00","0.00","0.00","2.59","696.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","66.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.45","3.70","-422.14"
00:00:05,"18,712.19","94,050.73","203.02","-0.66","-0.14","0.24","-76.90","0.98","-124.55","0.00","0.00","0.00","0.00","2.57","691.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","64.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.51","4.40","-498.92"
00:00:06,"18,709.27","94,043.92","203.03","-0.66","-0.15","0.24","-76.76","-0.54","-115.44","0.00","0.00","0.00","0.00","2.56","687.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","62.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","4.89","-550.89"
00:00:07,"18,706.35","94,037.13","203.04","-0.66","-0.15","0.24","-76.64","-2.36","-96.89","0.00","0.00","0.00","0.00","2.55","685.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","60.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.59","5.19","-582.50"
00:00:08,"18,703.42","94,030.33","203.05","-0.66","-0.15","0.24","-76.56","-4.13","-74.09","0.00","0.00","0.00","0.00","2.54","682.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","58.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.57","4.97","-558.94"
