OS: Chemical tanker 1 (Dis.44288t)
Trainee: 
Exercise name: RfAF Anholt_3_OS_RUN_1
Area: Great Belt 6000
Exercise start time: 12:00:00
Exercise date: 10/6/2020
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.7.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,degrees,meters,degrees,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,degrees,meters,meters_per_second,meters,meters_per_second,meters,meters_per_second,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"18,726.35","94,084.01","203.00",Off,"203.00","0.0","90.000000","0.000000","120.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","7.43","7.43","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","359.69","0.5","359.81","-0.2","-0.68"
00:00:01,"18,723.87","94,078.19","203.00",On,"203.00","0.1","90.000000","0.000000","120.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","7.00","23.78","11.81","11.24","12.18","12.33","0.00","0.00","1.54","0.00","6.04","5.70","0.20","0.00","-0.00","7.43","7.43","-0.00","0.00","-0.00","359.99","1.58","0.00","0.00","-0.00","0.01","0.00","0.00","0.0","359.71","2.9","359.82","1.2","-0.68"
00:00:02,"18,720.94","94,071.32","203.00",On,"203.00","0.3","90.000000","0.000000","119.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","14.00","23.80","11.79","11.28","12.21","12.30","0.00","0.00","1.54","0.00","6.04","5.70","0.20","0.00","-0.01","7.43","7.43","-0.01","0.00","-0.01","0.04","4.22","0.00","0.01","-0.01","0.01","-0.01","0.00","0.1","359.78","4.9","359.84","1.9","-0.69"
00:00:03,"18,718.03","94,064.46","203.01",On,"203.00","0.4","90.000000","0.000000","117.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","22.00","23.81","11.74","11.32","12.28","12.28","0.00","0.00","1.54","0.00","6.04","5.70","0.20","0.00","-0.01","7.43","7.43","-0.01","0.00","-0.02","0.06","5.19","0.00","0.00","-0.01","0.01","0.00","0.01","0.2","359.87","5.9","359.87","1.7","-0.68"
00:00:04,"18,715.11","94,057.59","203.02",On,"203.00","0.4","90.000000","0.000000","115.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","33.00","23.83","11.70","11.36","12.34","12.26","0.00","0.00","1.54","0.00","6.04","5.70","0.20","0.00","-0.00","7.43","7.43","-0.00","0.01","-0.02","0.05","5.54","-0.00","0.00","-0.01","0.01","0.01","0.01","0.2","359.96","4.9","359.89","0.7","-0.68"
00:00:05,"18,712.19","94,050.73","203.02",On,"203.00","0.5","90.000000","0.000000","114.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","37.00","23.85","11.67","11.35","12.39","12.28","0.00","0.00","1.54","0.00","6.03","5.70","0.20","0.00","-0.00","7.42","7.42","-0.00","0.01","-0.01","0.02","5.67","-0.01","0.00","-0.00","0.02","0.03","0.02","0.1","0.03","4.0","359.90","-0.4","-0.65"
00:00:06,"18,709.27","94,043.92","203.03",On,"203.00","0.5","90.000000","0.000000","112.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","44.00","23.87","11.68","11.34","12.40","12.31","0.00","0.00","1.54","0.00","6.03","5.80","0.20","0.00","0.00","7.41","7.41","0.00","0.02","-0.01","359.99","5.70","-0.01","0.01","0.00","0.01","-0.03","0.02","0.1","0.09","2.8","359.88","-1.0","-0.67"
00:00:07,"18,706.35","94,037.13","203.04",On,"203.00","0.5","90.000000","0.000000","111.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","55.00","23.88","11.71","11.33","12.38","12.34","0.00","0.00","1.54","0.00","6.02","5.80","0.20","0.00","0.01","7.41","7.41","0.01","0.02","-0.00","359.96","5.70","-0.01","0.02","0.01","0.01","0.00","0.03","0.0","0.12","1.3","359.87","-1.0","-0.67"
00:00:08,"18,703.42","94,030.33","203.05",On,"203.00","0.4","90.000000","0.000000","111.000000","0.000000","0.000000","0.000000","0.00","0.00","358.00","0.00","0.000000","0.0","0.000000","0.0","59.00","23.90","11.74","11.30","12.37","12.38","0.00","0.00","1.54","0.00","6.02","5.90","0.20","0.00","0.01","7.41","7.41","0.01","0.02","0.00","359.93","5.70","-0.01","0.02","0.01","0.01","-0.01","0.04","0.0","0.13","-0.1","359.85","-0.6","-0.68"
00:00:09,"18,700.49","94,023.54","203.05",On,"203.00","0.4","90.000000","0.000000","110.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","70.00","23.92","11.75","11.29","12.38","12.41","0.00","0.00","1.54","0.00","6.02","5.90","0.20","0.00","0.01","7.41","7.41","0.01","0.02","0.00","359.90","5.70","-0.01","0.03","0.01","0.02","0.02","0.04","-0.0","0.12","-1.3","359.85","0.1","-0.66"
00:00:10,"18,697.56","94,016.74","203.06",On,"203.00","0.3","90.000000","0.000000","109.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","74.00","23.93","11.73","11.28","12.42","12.45","0.00","0.00","1.54","0.00","6.02","5.90","0.20","0.00","0.02","7.40","7.40","0.02","0.02","0.01","359.88","5.70","-0.01","0.03","0.01","0.02","0.00","0.05","-0.1","0.09","-2.2","359.85","0.6","-0.65"
00:00:11,"18,694.61","94,009.95","203.06",On,"203.00","0.3","90.000000","0.000000","109.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","81.00","23.95","11.73","11.30","12.43","12.44","0.00","0.00","1.54","0.00","6.01","5.90","0.20","0.00","0.02","7.40","7.40","0.02","0.02","0.01","359.87","5.70","-0.01","0.03","0.01","0.01","-0.01","0.05","-0.1","0.05","-2.5","359.87","0.7","-0.67"
00:00:12,"18,691.68","94,003.16","203.07",On,"203.00","0.2","90.000000","0.000000","108.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","92.00","23.97","11.71","11.32","12.47","12.43","0.00","0.00","1.54","0.00","6.01","5.90","0.20","0.00","0.02","7.39","7.39","0.02","0.02","0.01","359.88","5.71","-0.02","0.03","0.01","0.01","0.00","0.05","-0.1","0.01","-2.0","359.88","0.5","-0.67"
00:00:13,"18,688.74","93,996.36","203.07",On,"203.00","0.2","90.000000","0.000000","108.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","100.00","23.99","11.70","11.33","12.50","12.45","0.00","0.00","1.54","0.00","6.00","5.90","0.20","0.00","0.01","7.39","7.39","0.01","0.02","0.01","359.89","5.71","-0.02","0.03","0.01","0.01","0.01","0.05","-0.1","359.98","-1.7","359.88","0.1","-0.66"
00:00:14,"18,685.81","93,989.57","203.07",On,"203.00","0.2","90.000000","0.000000","108.000000","0.000000","0.000000","0.000000","0.00","0.00","359.00","0.00","0.000000","0.0","0.000000","0.0","107.00","24.00","11.68","11.32","12.54","12.47","0.00","0.00","1.54","0.00","5.99","5.90","0.20","0.00","0.01","7.38","7.38","0.01","0.02","0.01","359.90","5.71","-0.02","0.03","0.00","0.02","0.01","0.05","-0.1","359.96","-1.1","359.88","-0.2","-0.64"
