OS: Chemical tanker 1 (Dis.44288t)
Trainee: 
Exercise name: RfAF Anholt_3_OS_RUN_1
Area: Great Belt 6000
Exercise start time: 12:00:00
Exercise date: 10/6/2020
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.7.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,meters_per_second,meters_per_second,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"56.823718","11.922425","203.05","7.43","203.00","7.43","292.66","0.01","0.01","0.01","0.00","0.0","120.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:01,"56.823666","11.922385","202.99","7.43","203.00","7.43","114.62","0.00","0.00","-0.00","0.00","0.1","120.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:02,"56.823606","11.922338","202.95","7.43","203.00","7.43","113.25","0.01","0.00","-0.01","359.00","0.3","119.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:03,"56.823545","11.922291","202.94","7.43","203.01","7.43","113.13","0.01","0.00","-0.02","359.00","0.4","117.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:04,"56.823485","11.922244","202.98","7.43","203.02","7.43","113.17","0.00","0.01","-0.02","359.00","0.4","115.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:05,"56.823425","11.922197","203.01","7.42","203.02","7.42","113.50","0.00","0.01","-0.01","359.00","0.5","114.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:06,"56.823365","11.922151","203.05","7.41","203.03","7.41","292.69","0.00","0.02","-0.01","359.00","0.5","112.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:07,"56.823305","11.922103","203.09","7.41","203.04","7.41","292.88","0.01","0.02","-0.00","359.00","0.5","111.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:08,"56.823245","11.922056","203.13","7.41","203.05","7.41","292.92","0.01","0.02","0.00","358.00","0.4","111.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:09,"56.823185","11.922009","203.16","7.41","203.05","7.41","292.95","0.01","0.02","0.00","359.00","0.4","110.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:10,"56.823125","11.921962","203.19","7.40","203.06","7.40","292.98","0.02","0.02","0.01","359.00","0.3","109.000000","0.000000","0.000000","0.000000","0.0","0.0"
