OS: Chemical tanker 1 (Dis.44288t)
Trainee: 
Exercise name: RfAF Anholt_3_OS_RUN_1
Area: Great Belt 6000
Exercise start time: 12:00:00
Exercise date: 10/6/2020
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.7.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude,BRAVO Local position X,BRAVO Local position Y,BRAVO Ship state,BRAVO Heading,BRAVO Latitude,BRAVO Longitude,CHARLIE Local position X,CHARLIE Local position Y,CHARLIE Ship state,CHARLIE Heading,CHARLIE Latitude,CHARLIE Longitude
,meters,meters,,degrees,,,meters,meters,,degrees,,,meters,meters,,degrees,,
00:00:00,"18,726.35","94,084.01",Running,"203.00","56.823718","11.922425","11,090.69","97,772.93",Running,"161.00","56.856181","11.799576","7,948.88","78,931.48",Running,"50.00","56.690075","11.749028"
00:00:01,"18,723.87","94,078.19",Running,"203.00","56.823666","11.922385","11,093.61","97,764.46",Running,"161.00","56.856107","11.799623","7,954.09","78,935.84",Running,"50.00","56.690114","11.749112"
00:00:02,"18,720.94","94,071.32",Running,"203.00","56.823606","11.922338","11,097.04","97,754.51",Running,"161.00","56.856019","11.799678","7,960.21","78,940.97",Running,"50.01","56.690159","11.749210"
00:00:03,"18,718.03","94,064.46",Running,"203.01","56.823545","11.922291","11,100.47","97,744.55",Running,"161.00","56.855932","11.799733","7,966.33","78,946.10",Running,"50.03","56.690205","11.749309"
00:00:04,"18,715.11","94,057.59",Running,"203.02","56.823485","11.922244","11,103.90","97,734.59",Running,"161.01","56.855844","11.799789","7,972.45","78,951.23",Running,"50.05","56.690250","11.749407"
00:00:05,"18,712.19","94,050.73",Running,"203.02","56.823425","11.922197","11,107.33","97,724.63",Running,"161.01","56.855756","11.799844","7,978.56","78,956.36",Running,"50.09","56.690295","11.749506"
00:00:06,"18,709.27","94,043.92",Running,"203.03","56.823365","11.922151","11,110.75","97,714.67",Running,"161.01","56.855669","11.799899","7,984.68","78,961.49",Running,"50.13","56.690341","11.749604"
00:00:07,"18,706.35","94,037.13",Running,"203.04","56.823305","11.922103","11,114.18","97,704.71",Running,"161.01","56.855581","11.799954","7,990.80","78,966.62",Running,"50.18","56.690386","11.749702"
00:00:08,"18,703.42","94,030.33",Running,"203.05","56.823245","11.922056","11,117.61","97,694.75",Running,"161.01","56.855493","11.800009","7,996.93","78,971.75",Running,"50.23","56.690431","11.749801"
00:00:09,"18,700.49","94,023.54",Running,"203.05","56.823185","11.922009","11,121.03","97,684.79",Running,"161.01","56.855406","11.800064","8,003.06","78,976.88",Running,"50.28","56.690477","11.749900"
00:00:10,"18,697.56","94,016.74",Running,"203.06","56.823125","11.921962","11,124.45","97,674.83",Running,"161.01","56.855318","11.800119","8,009.21","78,982.02",Running,"50.33","56.690522","11.749999"
00:00:11,"18,694.61","94,009.95",Running,"203.06","56.823066","11.921915","11,127.86","97,664.87",Running,"161.02","56.855231","11.800174","8,015.36","78,987.15",Running,"50.38","56.690567","11.750097"
00:00:12,"18,691.68","94,003.16",Running,"203.07","56.823006","11.921867","11,131.27","97,654.90",Running,"161.02","56.855143","11.800229","8,021.51","78,992.28",Running,"50.43","56.690613","11.750196"
00:00:13,"18,688.74","93,996.36",Running,"203.07","56.822946","11.921820","11,134.69","97,644.95",Running,"161.02","56.855055","11.800284","8,027.67","78,997.41",Running,"50.48","56.690658","11.750296"
00:00:14,"18,685.81","93,989.57",Running,"203.07","56.822886","11.921773","11,138.10","97,634.98",Running,"161.02","56.854968","11.800339","8,033.83","79,002.55",Running,"50.53","56.690703","11.750395"
00:00:15,"18,682.92","93,982.78",Running,"203.08","56.822826","11.921727","11,141.51","97,625.03",Running,"161.02","56.854880","11.800394","8,039.99","79,007.68",Running,"50.58","56.690749","11.750494"
00:00:16,"18,680.06","93,975.98",Running,"203.08","56.822766","11.921681","11,144.92","97,615.06",Running,"161.02","56.854792","11.800449","8,046.17","79,012.81",Running,"50.63","56.690794","11.750593"
00:00:17,"18,677.18","93,969.19",Running,"203.08","56.822707","11.921634","11,148.34","97,605.11",Running,"161.02","56.854705","11.800504","8,052.35","79,017.95",Running,"50.68","56.690839","11.750693"
00:00:18,"18,674.32","93,962.39",Running,"203.08","56.822647","11.921588","11,151.75","97,595.14",Running,"161.02","56.854617","11.800559","8,058.53","79,023.08",Running,"50.73","56.690885","11.750792"
00:00:19,"18,671.45","93,955.65",Running,"203.08","56.822588","11.921542","11,155.16","97,585.18",Running,"161.02","56.854530","11.800613","8,064.72","79,028.22",Running,"50.78","56.690930","11.750892"
00:00:20,"18,668.58","93,948.91",Running,"203.09","56.822528","11.921496","11,158.58","97,575.22",Running,"161.02","56.854442","11.800668","8,070.91","79,033.36",Running,"50.84","56.690976","11.750991"
00:00:21,"18,665.70","93,942.17",Running,"203.09","56.822469","11.921450","11,161.99","97,565.26",Running,"161.02","56.854354","11.800723","8,077.11","79,038.49",Running,"50.91","56.691021","11.751091"
00:00:22,"18,662.84","93,935.43",Running,"203.09","56.822409","11.921404","11,165.40","97,555.29",Running,"161.02","56.854267","11.800778","8,083.31","79,043.63",Running,"50.97","56.691066","11.751191"
00:00:23,"18,659.97","93,928.69",Running,"203.09","56.822350","11.921357","11,168.82","97,545.34",Running,"161.02","56.854179","11.800833","8,089.52","79,048.76",Running,"51.04","56.691112","11.751291"
00:00:24,"18,657.10","93,921.96",Running,"203.09","56.822291","11.921311","11,172.23","97,535.38",Running,"161.02","56.854092","11.800888","8,095.73","79,053.89",Running,"51.10","56.691157","11.751391"
00:00:25,"18,654.22","93,915.22",Running,"203.09","56.822232","11.921265","11,175.64","97,525.41",Running,"161.02","56.854004","11.800943","8,101.96","79,059.02",Running,"51.17","56.691202","11.751491"
00:00:26,"18,651.36","93,908.48",Running,"203.09","56.822172","11.921219","11,179.05","97,515.45",Running,"161.02","56.853916","11.800998","8,108.19","79,064.14",Running,"51.24","56.691248","11.751591"
00:00:27,"18,648.49","93,901.74",Running,"203.09","56.822113","11.921173","11,182.47","97,505.50",Running,"161.02","56.853829","11.801053","8,114.42","79,069.26",Running,"51.31","56.691293","11.751691"
00:00:28,"18,645.61","93,895.00",Running,"203.09","56.822054","11.921126","11,185.88","97,495.53",Running,"161.02","56.853741","11.801108","8,120.66","79,074.38",Running,"51.38","56.691338","11.751792"
00:00:29,"18,642.74","93,888.27",Running,"203.08","56.821994","11.921080","11,189.29","97,485.57",Running,"161.02","56.853653","11.801163","8,126.91","79,079.49",Running,"51.44","56.691383","11.751892"
00:00:30,"18,639.87","93,881.54",Running,"203.08","56.821935","11.921034","11,192.71","97,475.61",Running,"161.02","56.853566","11.801217","8,133.17","79,084.61",Running,"51.51","56.691428","11.751993"
00:00:31,"18,637.00","93,874.85",Running,"203.08","56.821876","11.920988","11,196.12","97,465.65",Running,"161.02","56.853478","11.801272","8,139.43","79,089.71",Running,"51.58","56.691473","11.752094"
00:00:32,"18,634.13","93,868.18",Running,"203.07","56.821817","11.920942","11,199.52","97,455.69",Running,"161.02","56.853390","11.801327","8,145.70","79,094.82",Running,"51.65","56.691519","11.752195"
00:00:33,"18,631.26","93,861.50",Running,"203.07","56.821759","11.920895","11,202.92","97,445.73",Running,"161.02","56.853303","11.801382","8,151.98","79,099.92",Running,"51.71","56.691564","11.752296"
00:00:34,"18,628.39","93,854.81",Running,"203.07","56.821700","11.920849","11,206.32","97,435.77",Running,"161.02","56.853215","11.801436","8,158.26","79,105.01",Running,"51.78","56.691609","11.752397"
00:00:35,"18,625.52","93,848.14",Running,"203.06","56.821641","11.920803","11,209.71","97,425.81",Running,"161.02","56.853128","11.801491","8,164.55","79,110.10",Running,"51.84","56.691654","11.752498"
00:00:36,"18,622.66","93,841.46",Running,"203.06","56.821582","11.920757","11,213.11","97,415.85",Running,"161.02","56.853040","11.801546","8,170.85","79,115.19",Running,"51.91","56.691699","11.752599"
00:00:37,"18,619.78","93,834.78",Running,"203.05","56.821523","11.920711","11,216.51","97,405.93",Running,"161.02","56.852953","11.801600","8,177.16","79,120.27",Running,"51.97","56.691743","11.752701"
00:00:38,"18,616.92","93,828.10",Running,"203.04","56.821464","11.920665","11,219.91","97,396.09",Running,"161.02","56.852866","11.801655","8,183.47","79,125.35",Running,"52.04","56.691788","11.752802"
00:00:39,"18,614.05","93,821.42",Running,"203.04","56.821406","11.920619","11,223.31","97,386.25",Running,"161.02","56.852780","11.801710","8,189.79","79,130.42",Running,"52.10","56.691833","11.752904"
00:00:40,"18,611.17","93,814.74",Running,"203.03","56.821347","11.920572","11,226.71","97,376.40",Running,"161.02","56.852693","11.801764","8,196.12","79,135.48",Running,"52.16","56.691878","11.753006"
00:00:41,"18,608.31","93,808.06",Running,"203.02","56.821288","11.920526","11,230.11","97,366.56",Running,"161.02","56.852606","11.801819","8,202.46","79,140.54",Running,"52.22","56.691923","11.753108"
00:00:42,"18,605.46","93,801.38",Running,"203.02","56.821229","11.920480","11,233.50","97,356.72",Running,"161.02","56.852520","11.801874","8,208.80","79,145.60",Running,"52.28","56.691967","11.753210"
00:00:43,"18,602.64","93,794.70",Running,"203.01","56.821170","11.920435","11,236.90","97,346.87",Running,"161.02","56.852433","11.801929","8,215.15","79,150.65",Running,"52.34","56.692012","11.753312"
00:00:44,"18,599.83","93,788.04",Running,"203.00","56.821112","11.920390","11,240.30","97,337.02",Running,"161.02","56.852347","11.801983","8,221.51","79,155.70",Running,"52.39","56.692056","11.753414"
00:00:45,"18,597.02","93,781.42",Running,"202.99","56.821054","11.920345","11,243.70","97,327.19",Running,"161.02","56.852260","11.802038","8,227.88","79,160.74",Running,"52.45","56.692101","11.753517"
00:00:46,"18,594.21","93,774.80",Running,"202.99","56.820995","11.920299","11,247.10","97,317.34",Running,"161.02","56.852173","11.802093","8,234.25","79,165.77",Running,"52.50","56.692145","11.753619"
00:00:47,"18,591.39","93,768.18",Running,"202.98","56.820937","11.920254","11,250.50","97,307.49",Running,"161.02","56.852087","11.802147","8,240.63","79,170.80",Running,"52.56","56.692190","11.753722"
00:00:48,"18,588.59","93,761.56",Running,"202.97","56.820879","11.920209","11,253.90","97,297.66",Running,"161.02","56.852000","11.802202","8,247.02","79,175.83",Running,"52.61","56.692234","11.753825"
00:00:49,"18,585.77","93,754.94",Running,"202.97","56.820820","11.920164","11,257.29","97,287.81",Running,"161.02","56.851914","11.802257","8,253.41","79,180.85",Running,"52.66","56.692279","11.753928"
00:00:50,"18,582.96","93,748.31",Running,"202.96","56.820762","11.920118","11,260.69","97,277.96",Running,"161.02","56.851827","11.802311","8,259.82","79,185.86",Running,"52.71","56.692323","11.754031"
00:00:51,"18,580.15","93,741.70",Running,"202.95","56.820704","11.920073","11,264.09","97,268.13",Running,"161.02","56.851740","11.802366","8,266.23","79,190.87",Running,"52.76","56.692367","11.754134"
00:00:52,"18,577.34","93,735.08",Running,"202.95","56.820645","11.920028","11,267.49","97,258.28",Running,"161.02","56.851654","11.802421","8,272.64","79,195.87",Running,"52.81","56.692411","11.754237"
00:00:53,"18,574.53","93,728.46",Running,"202.94","56.820587","11.919983","11,270.89","97,248.43",Running,"161.02","56.851567","11.802475","8,279.07","79,200.87",Running,"52.85","56.692456","11.754340"
00:00:54,"18,571.72","93,721.84",Running,"202.94","56.820529","11.919938","11,274.29","97,238.60",Running,"161.02","56.851481","11.802530","8,285.50","79,205.86",Running,"52.90","56.692500","11.754444"
00:00:55,"18,568.91","93,715.21",Running,"202.93","56.820471","11.919892","11,277.68","97,228.75",Running,"161.02","56.851394","11.802585","8,291.94","79,210.85",Running,"52.94","56.692544","11.754547"
00:00:56,"18,566.10","93,708.60",Running,"202.93","56.820412","11.919847","11,281.08","97,218.90",Running,"161.02","56.851307","11.802639","8,298.38","79,215.84",Running,"52.98","56.692588","11.754651"
00:00:57,"18,563.29","93,701.98",Running,"202.93","56.820354","11.919802","11,284.48","97,209.07",Running,"161.02","56.851221","11.802694","8,304.84","79,220.81",Running,"53.02","56.692632","11.754755"
00:00:58,"18,560.47","93,695.35",Running,"202.92","56.820296","11.919757","11,287.88","97,199.22",Running,"161.02","56.851134","11.802749","8,311.29","79,225.79",Running,"53.06","56.692676","11.754859"
00:00:59,"18,557.66","93,688.76",Running,"202.92","56.820238","11.919711","11,291.28","97,189.37",Running,"161.02","56.851048","11.802803","8,317.76","79,230.75",Running,"53.10","56.692720","11.754963"
00:01:00,"18,554.85","93,682.20",Running,"202.92","56.820180","11.919666","11,294.68","97,179.52",Running,"161.02","56.850961","11.802858","8,324.23","79,235.72",Running,"53.14","56.692763","11.755067"
00:01:01,"18,552.04","93,675.63",Running,"202.92","56.820122","11.919621","11,298.07","97,169.69",Running,"161.02","56.850874","11.802913","8,330.71","79,240.68",Running,"53.17","56.692807","11.755171"
00:01:02,"18,549.22","93,669.08",Running,"202.92","56.820064","11.919576","11,301.47","97,159.84",Running,"161.02","56.850788","11.802967","8,337.19","79,245.63",Running,"53.20","56.692851","11.755275"
00:01:03,"18,546.42","93,662.51",Running,"202.92","56.820007","11.919530","11,304.87","97,150.00",Running,"161.02","56.850701","11.803022","8,343.68","79,250.58",Running,"53.24","56.692895","11.755380"
00:01:04,"18,543.61","93,655.95",Running,"202.92","56.819949","11.919485","11,308.27","97,140.15",Running,"161.02","56.850615","11.803077","8,350.18","79,255.53",Running,"53.27","56.692938","11.755484"
00:01:05,"18,540.85","93,649.39",Running,"202.92","56.819891","11.919441","11,311.67","97,130.32",Running,"161.02","56.850528","11.803131","8,356.68","79,260.47",Running,"53.30","56.692982","11.755589"
00:01:06,"18,538.10","93,642.83",Running,"202.92","56.819833","11.919397","11,315.07","97,120.47",Running,"161.02","56.850441","11.803186","8,363.19","79,265.40",Running,"53.33","56.693026","11.755694"
00:01:07,"18,535.34","93,636.27",Running,"202.92","56.819775","11.919352","11,318.47","97,110.63",Running,"161.02","56.850355","11.803241","8,369.70","79,270.34",Running,"53.35","56.693069","11.755799"
00:01:08,"18,532.59","93,629.70",Running,"202.92","56.819718","11.919308","11,321.86","97,100.78",Running,"161.02","56.850268","11.803295","8,376.22","79,275.27",Running,"53.38","56.693113","11.755903"
00:01:09,"18,529.83","93,623.15",Running,"202.92","56.819660","11.919263","11,325.26","97,090.94",Running,"161.02","56.850182","11.803350","8,382.75","79,280.19",Running,"53.40","56.693156","11.756008"
00:01:10,"18,527.07","93,616.59",Running,"202.93","56.819602","11.919219","11,328.66","97,081.09",Running,"161.02","56.850095","11.803405","8,389.28","79,285.11",Running,"53.43","56.693200","11.756113"
00:01:11,"18,524.32","93,610.03",Running,"202.93","56.819544","11.919175","11,332.06","97,071.25",Running,"161.02","56.850008","11.803459","8,395.81","79,290.03",Running,"53.45","56.693243","11.756219"
00:01:12,"18,521.57","93,603.46",Running,"202.93","56.819487","11.919131","11,335.45","97,061.40",Running,"161.02","56.849922","11.803514","8,402.36","79,294.94",Running,"53.47","56.693287","11.756324"
00:01:13,"18,518.82","93,596.90",Running,"202.93","56.819429","11.919086","11,338.85","97,051.56",Running,"161.02","56.849835","11.803569","8,408.90","79,299.85",Running,"53.49","56.693330","11.756429"
00:01:14,"18,516.06","93,590.36",Running,"202.94","56.819371","11.919042","11,342.25","97,041.72",Running,"161.02","56.849749","11.803623","8,415.45","79,304.76",Running,"53.51","56.693373","11.756535"
00:01:15,"18,513.31","93,583.86",Running,"202.94","56.819314","11.918998","11,345.64","97,031.87",Running,"161.02","56.849662","11.803678","8,422.01","79,309.67",Running,"53.53","56.693417","11.756640"
00:01:16,"18,510.55","93,577.35",Running,"202.94","56.819257","11.918953","11,349.02","97,022.03",Running,"161.02","56.849575","11.803732","8,428.57","79,314.57",Running,"53.54","56.693460","11.756746"
00:01:17,"18,507.80","93,570.85",Running,"202.94","56.819199","11.918909","11,352.40","97,012.19",Running,"161.02","56.849489","11.803787","8,435.13","79,319.47",Running,"53.56","56.693503","11.756851"
00:01:18,"18,505.05","93,564.34",Running,"202.95","56.819142","11.918865","11,355.79","97,002.34",Running,"161.02","56.849402","11.803841","8,441.70","79,324.36",Running,"53.57","56.693547","11.756957"
00:01:19,"18,502.29","93,557.84",Running,"202.95","56.819085","11.918820","11,359.17","96,992.50",Running,"161.02","56.849316","11.803896","8,448.28","79,329.25",Running,"53.58","56.693590","11.757063"
00:01:20,"18,499.54","93,551.34",Running,"202.95","56.819028","11.918776","11,362.55","96,982.66",Running,"161.02","56.849229","11.803950","8,454.85","79,334.15",Running,"53.59","56.693633","11.757168"
00:01:21,"18,496.78","93,544.83",Running,"202.95","56.818970","11.918732","11,365.94","96,972.81",Running,"161.02","56.849142","11.804005","8,461.44","79,339.03",Running,"53.60","56.693676","11.757274"
00:01:22,"18,494.03","93,538.33",Running,"202.96","56.818913","11.918688","11,369.32","96,962.96",Running,"161.02","56.849056","11.804059","8,468.02","79,343.92",Running,"53.61","56.693719","11.757380"
00:01:23,"18,491.28","93,531.83",Running,"202.96","56.818856","11.918643","11,372.71","96,953.12",Running,"161.02","56.848969","11.804113","8,474.61","79,348.80",Running,"53.62","56.693763","11.757486"
00:01:24,"18,488.52","93,525.33",Running,"202.96","56.818799","11.918599","11,376.09","96,943.28",Running,"161.02","56.848883","11.804168","8,481.20","79,353.69",Running,"53.63","56.693806","11.757592"
00:01:25,"18,485.77","93,518.82",Running,"202.96","56.818741","11.918555","11,379.47","96,933.44",Running,"161.02","56.848796","11.804222","8,487.80","79,358.57",Running,"53.64","56.693849","11.757699"
00:01:26,"18,483.01","93,512.32",Running,"202.97","56.818684","11.918510","11,382.86","96,923.59",Running,"161.02","56.848709","11.804277","8,494.40","79,363.44",Running,"53.64","56.693892","11.757805"
00:01:27,"18,480.26","93,505.82",Running,"202.97","56.818627","11.918466","11,386.24","96,913.75",Running,"161.02","56.848623","11.804331","8,501.00","79,368.32",Running,"53.65","56.693935","11.757911"
00:01:28,"18,477.51","93,499.32",Running,"202.97","56.818570","11.918422","11,389.62","96,903.90",Running,"161.02","56.848536","11.804386","8,507.61","79,373.19",Running,"53.65","56.693978","11.758017"
00:01:29,"18,474.75","93,492.81",Running,"202.97","56.818512","11.918377","11,393.01","96,894.06",Running,"161.02","56.848449","11.804440","8,514.22","79,378.07",Running,"53.65","56.694021","11.758124"
00:01:30,"18,472.00","93,486.34",Running,"202.98","56.818455","11.918333","11,396.39","96,884.22",Running,"161.02","56.848363","11.804495","8,520.84","79,382.94",Running,"53.66","56.694064","11.758230"
00:01:31,"18,469.24","93,479.90",Running,"202.98","56.818399","11.918289","11,399.78","96,874.38",Running,"161.02","56.848276","11.804549","8,527.45","79,387.81",Running,"53.66","56.694107","11.758336"
00:01:32,"18,466.49","93,473.45",Running,"202.98","56.818342","11.918244","11,403.16","96,864.53",Running,"161.02","56.848190","11.804603","8,534.07","79,392.68",Running,"53.66","56.694150","11.758443"
