OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: RfAF_GBG_3 OS_RUN_3
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 9/13/2021
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Wind effect. Longitudinal force,Wind effect. Lateral force,Wind effect. Pitching moment,Hydrodynamics. Longitudinal force,Hydrodynamics. Lateral force,Hydrodynamics. Pitching moment,Wave effect. Longitudinal force,Wave effect. Lateral force,Wave effect. Pitching moment,Ship-Bank interaction. Longitudinal force,Ship-Bank interaction. Lateral force,Ship-Bank interaction. Pitching moment,Fender. Longitudinal force,Fender. Lateral force,Fender. Pitching moment,Total force from all the mooring lines. Longitudinal force,Total force from all the mooring lines. Lateral force,Total force from all the mooring lines. Pitching moment,Port anchor. Longitudinal force,Port anchor. Lateral force,Port anchor. Pitching moment,Starboard anchor. Longitudinal force,Starboard anchor. Lateral force,Starboard anchor. Pitching moment,Ship-Ship interaction. Longitudinal force,Ship-Ship interaction. Lateral force,Ship-Ship interaction. Pitching moment,Propeller. Longitudal force,Propeller. Lateral force,Propeller. Pitching moment,Bow thruster. Longitudinal force,Bow thruster. Lateral force,Bow thruster. Pitching moment,Stern thruster. Longitudinal force,Stern thruster. Lateral force,Stern thruster. Pitching moment,Rudders (all). Longitudal force,Rudders (all). Lateral force,Rudders (all). Pitching moment
,meters,meters,degrees,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m
00:00:00,"7,532.09","-4,505.84","259.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:01,"7,525.56","-4,507.12","259.00","-2.91","-2.30","-60.12","-80.16","1.43","18.14","-0.00","0.00","0.00","0.00","-0.02","-3.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74.36","0.00","-0.70","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","-0.00","0.35"
00:00:02,"7,517.88","-4,508.63","259.00","-2.91","-2.30","-60.00","-80.10","1.72","13.30","-0.00","0.00","0.00","0.00","-0.01","-3.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","76.52","0.00","-0.67","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.01","-0.98"
00:00:03,"7,510.20","-4,510.13","259.00","-2.90","-2.30","-59.89","-79.98","1.94","6.60","0.01","0.00","0.00","0.00","-0.01","-3.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","79.71","0.00","-0.65","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.05","-3.94"
00:00:04,"7,502.53","-4,511.63","259.00","-2.90","-2.29","-59.79","-79.83","2.10","-0.68","-0.00","0.00","0.00","0.00","0.00","-3.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","82.84","0.00","-0.64","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.10","-7.51"
00:00:05,"7,494.86","-4,513.14","259.00","-2.90","-2.29","-59.73","-79.73","2.21","-7.78","-0.00","0.00","0.00","0.00","0.01","-3.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","85.34","0.00","-0.62","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.15","-11.30"
00:00:06,"7,487.19","-4,514.64","259.01","-2.90","-2.29","-59.70","-79.72","2.26","-14.12","0.01","0.00","0.00","0.00","0.02","-3.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","86.81","0.00","-0.60","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.19","-14.97"
00:00:07,"7,479.52","-4,516.15","259.01","-2.90","-2.29","-59.71","-79.78","2.29","-19.16","-0.01","0.00","0.00","0.00","0.03","-4.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","87.84","0.00","-0.59","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.24","-18.27"
00:00:08,"7,471.84","-4,517.65","259.01","-2.90","-2.29","-59.73","-79.89","2.30","-22.74","0.01","0.00","0.00","0.00","0.02","-4.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","88.64","0.00","-0.57","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.28","-21.34"
00:00:09,"7,464.17","-4,519.16","259.01","-2.90","-2.29","-59.76","-80.00","2.30","-24.72","-0.00","0.00","0.00","0.00","0.02","-4.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","88.92","0.00","-0.55","0.00","0.00","0.00","0.00","0.00","0.00","-1.57","0.34","-25.87"
00:00:10,"7,456.48","-4,520.66","259.02","-2.91","-2.29","-59.78","-80.09","2.30","-25.25","-0.00","0.00","0.00","0.00","0.02","-3.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89.16","0.00","-0.54","0.00","0.00","0.00","0.00","0.00","0.00","-1.57","0.37","-28.70"
00:00:11,"7,448.80","-4,522.17","259.02","-2.91","-2.29","-59.80","-80.15","2.30","-25.12","0.01","0.00","0.00","0.00","0.02","-3.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89.52","0.00","-0.53","0.00","0.00","0.00","0.00","0.00","0.00","-1.57","0.39","-30.36"
00:00:12,"7,441.12","-4,523.67","259.02","-2.91","-2.29","-59.81","-80.19","2.30","-24.42","-0.00","0.00","0.00","0.00","0.02","-3.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89.53","0.00","-0.53","0.00","0.00","0.00","0.00","0.00","0.00","-1.57","0.42","-32.46"
00:00:13,"7,433.44","-4,525.18","259.03","-2.91","-2.29","-59.81","-80.23","2.31","-23.32","-0.00","0.00","0.00","0.00","0.01","-3.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89.54","0.00","-0.53","0.00","0.00","0.00","0.00","0.00","0.00","-1.57","0.45","-34.93"
00:00:14,"7,425.75","-4,526.68","259.03","-2.91","-2.29","-59.82","-80.30","2.33","-22.25","0.00","0.00","0.00","0.00","0.01","-3.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89.75","0.00","-0.53","0.00","0.00","0.00","0.00","0.00","0.00","-1.57","0.47","-36.22"
00:00:15,"7,418.06","-4,528.19","259.03","-2.91","-2.29","-59.84","-80.38","2.35","-21.46","-0.01","0.00","0.00","0.00","0.01","-3.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89.66","0.00","-0.53","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.48","-36.89"
00:00:16,"7,410.37","-4,529.69","259.03","-2.91","-2.29","-59.85","-80.46","2.37","-20.90","0.01","0.00","0.00","0.00","0.01","-3.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89.48","0.00","-0.54","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.50","-38.75"
00:00:17,"7,402.67","-4,531.20","259.04","-2.92","-2.29","-59.86","-80.53","2.39","-20.13","0.00","0.00","0.00","0.00","0.01","-3.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","88.11","0.00","-0.54","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.53","-40.74"
00:00:18,"7,394.98","-4,532.70","259.04","-2.92","-2.29","-59.86","-80.56","2.40","-19.39","-0.01","0.00","0.00","0.00","0.01","-3.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","84.82","0.00","-0.67","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.54","-41.53"
00:00:19,"7,387.29","-4,534.21","259.04","-2.92","-2.29","-59.85","-80.53","2.42","-18.88","0.01","0.00","0.00","0.00","0.01","-3.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","81.56","0.00","-0.62","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.54","-41.79"
00:00:20,"7,379.59","-4,535.71","259.04","-2.91","-2.29","-59.83","-80.45","2.43","-18.51","-0.00","0.00","0.00","0.00","0.01","-3.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","79.31","0.00","-0.62","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.57","-43.81"
00:00:21,"7,371.90","-4,537.22","259.05","-2.91","-2.29","-59.80","-80.34","2.44","-17.90","-0.00","0.00","0.00","0.00","0.01","-3.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77.48","0.00","-0.54","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.59","-45.52"
00:00:22,"7,364.22","-4,538.72","259.05","-2.91","-2.29","-59.77","-80.22","2.45","-17.30","0.00","0.00","0.00","0.00","0.01","-3.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","76.01","0.00","-0.48","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.60","-46.45"
00:00:23,"7,356.54","-4,540.22","259.05","-2.91","-2.29","-59.73","-80.09","2.46","-16.81","-0.01","0.00","0.00","0.00","0.01","-3.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.16","0.00","-0.44","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.61","-46.99"
00:00:24,"7,348.86","-4,541.72","259.05","-2.90","-2.29","-59.70","-79.95","2.47","-16.22","0.00","0.00","0.00","0.00","0.01","-3.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74.56","0.00","-0.41","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.64","-49.58"
00:00:25,"7,341.18","-4,543.22","259.06","-2.90","-2.29","-59.67","-79.80","2.46","-15.36","0.00","0.00","0.00","0.00","0.01","-3.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","73.99","0.00","-0.38","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.67","-51.23"
