OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: RfAF_GBG_3 OS_RUN_3
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 9/13/2021
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,degrees,meters,degrees,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,degrees,meters,meters_per_second,meters,meters_per_second,meters,meters_per_second,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"7,532.09","-4,505.84","259.00",Off,"259.00","0.0","70.000000","70.000000","104.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.01","7.83","7.83","-0.01","-0.01","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","359.96","-1.4","359.95","-0.0","-0.17"
00:00:01,"7,525.56","-4,507.12","259.00",On,"259.00","0.0","70.000000","70.000000","105.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","11.00","14.70","6.89","6.76","7.81","7.94","0.00","0.00","1.03","0.00","7.70","7.50","0.10","0.00","-0.01","7.83","7.83","-0.01","-0.01","-0.01","0.06","1.66","0.00","-0.00","0.00","0.00","0.00","0.00","0.0","359.95","-1.0","359.96","1.4","-0.17"
00:00:02,"7,517.88","-4,508.63","259.00",On,"259.00","0.0","70.000000","70.000000","106.000000","106.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","19.00","14.70","6.85","6.78","7.85","7.92","0.00","0.00","1.03","0.00","7.70","7.50","0.10","0.00","-0.01","7.83","7.83","-0.01","-0.01","-0.01","0.08","4.43","-0.00","-0.01","-0.00","0.01","0.01","0.00","0.0","359.93","-0.5","359.98","1.8","-0.16"
00:00:03,"7,510.20","-4,510.13","259.00",On,"259.00","0.1","70.000000","70.000000","107.000000","107.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","27.00","14.70","6.81","6.80","7.89","7.90","0.00","0.00","1.03","0.00","7.69","7.50","0.10","0.00","-0.01","7.82","7.82","-0.01","-0.01","-0.01","0.09","5.44","-0.00","-0.01","-0.00","0.01","0.01","0.00","0.0","359.93","-0.2","0.01","1.1","-0.15"
00:00:04,"7,502.53","-4,511.63","259.00",On,"259.00","0.1","70.000000","70.000000","107.000000","107.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","35.00","14.70","6.79","6.83","7.91","7.87","0.00","0.00","1.03","0.00","7.69","7.50","0.10","0.00","-0.01","7.82","7.82","-0.01","-0.01","-0.02","0.10","5.81","-0.01","-0.01","-0.00","-0.00","-0.02","0.00","0.0","359.93","0.0","0.02","0.1","-0.16"
00:00:05,"7,494.86","-4,513.14","259.00",On,"259.00","0.1","70.000000","70.000000","108.000000","108.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","42.00","14.70","6.80","6.84","7.90","7.86","0.00","0.00","1.03","0.00","7.68","7.40","0.10","0.00","-0.01","7.81","7.81","-0.01","-0.01","-0.02","0.10","5.95","-0.01","-0.01","-0.00","-0.01","-0.01","0.00","0.0","359.93","0.3","0.01","-0.9","-0.17"
00:00:06,"7,487.19","-4,514.64","259.01",On,"259.00","0.1","70.000000","70.000000","108.000000","108.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","50.00","14.70","6.81","6.82","7.89","7.88","0.00","0.00","1.03","0.00","7.68","7.40","0.10","0.00","-0.01","7.82","7.82","-0.01","-0.01","-0.02","0.10","6.00","-0.01","-0.01","-0.00","-0.00","0.01","0.01","0.0","359.93","0.2","0.00","-1.0","-0.16"
00:00:07,"7,479.52","-4,516.15","259.01",On,"259.00","0.1","70.000000","70.000000","109.000000","109.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","58.00","14.70","6.82","6.79","7.88","7.91","0.00","0.00","1.03","0.00","7.69","7.40","0.10","0.00","-0.01","7.82","7.82","-0.01","-0.01","-0.02","0.10","6.01","-0.00","-0.01","-0.00","0.01","0.01","0.01","0.0","359.93","0.2","359.99","-0.6","-0.15"
00:00:08,"7,471.84","-4,517.65","259.01",On,"259.00","0.2","70.000000","70.000000","109.000000","109.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","66.00","14.70","6.83","6.78","7.87","7.92","0.00","0.00","1.03","0.00","7.69","7.40","0.10","0.00","-0.01","7.82","7.82","-0.01","-0.01","-0.02","0.10","6.02","-0.00","-0.01","-0.00","0.00","-0.01","0.01","0.0","359.94","0.2","359.98","-0.1","-0.16"
