OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: RfAF_GBG_3 OS_RUN_3
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 9/13/2021
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude,CHARLIE Local position X,CHARLIE Local position Y,CHARLIE Ship state,CHARLIE Heading,CHARLIE Latitude,CHARLIE Longitude,BRAVO Local position X,BRAVO Local position Y,BRAVO Ship state,BRAVO Heading,BRAVO Latitude,BRAVO Longitude
,meters,meters,,degrees,,,meters,meters,,degrees,,,meters,meters,,degrees,,
00:00:00,"4,611.06","-4,946.34",Running,"263.00","57.678789","11.783547","7,532.09","-4,505.84",Running,"259.00","57.682758","11.832777","-4,662.64","-16,586.25",Running,"32.00","57.573749","11.627251"
00:00:01,"4,604.81","-4,947.10",Running,"263.00","57.678782","11.783441","7,525.56","-4,507.12",Running,"259.00","57.682746","11.832667","-4,659.06","-16,580.52",Running,"32.00","57.573801","11.627311"
00:00:02,"4,597.46","-4,948.00",Running,"263.00","57.678774","11.783317","7,517.88","-4,508.63",Running,"259.00","57.682733","11.832537","-4,654.84","-16,573.77",Running,"32.00","57.573862","11.627382"
00:00:03,"4,590.10","-4,948.90",Running,"263.00","57.678766","11.783193","7,510.20","-4,510.13",Running,"259.00","57.682719","11.832408","-4,650.61","-16,567.03",Running,"31.98","57.573923","11.627453"
00:00:04,"4,582.75","-4,949.79",Running,"262.99","57.678758","11.783070","7,502.53","-4,511.63",Running,"259.00","57.682706","11.832279","-4,646.39","-16,560.30",Running,"31.95","57.573983","11.627525"
00:00:05,"4,575.40","-4,950.69",Running,"262.99","57.678750","11.782946","7,494.86","-4,513.14",Running,"259.00","57.682692","11.832149","-4,642.11","-16,553.56",Running,"31.88","57.574044","11.627597"
00:00:06,"4,568.06","-4,951.59",Running,"262.99","57.678742","11.782822","7,487.19","-4,514.64",Running,"259.01","57.682679","11.832020","-4,637.82","-16,546.84",Running,"31.79","57.574105","11.627669"
00:00:07,"4,560.72","-4,952.49",Running,"262.99","57.678733","11.782698","7,479.52","-4,516.15",Running,"259.01","57.682665","11.831891","-4,633.54","-16,540.08",Running,"31.67","57.574166","11.627741"
00:00:08,"4,553.38","-4,953.39",Running,"262.99","57.678725","11.782575","7,471.84","-4,517.65",Running,"259.01","57.682652","11.831761","-4,629.27","-16,533.28",Running,"31.53","57.574228","11.627813"
