;time;Autopilot state;Autopilot course;Port telegraph order;Starboard telegraph order;Port rudder order;Starboard rudder order;Starboard rudder angle;Bow thruster power order;Stern thruster power order;Distance made Good;Water depth (echo-sounder);Draft at ship bow;Draft at ship stern;Under keel clearance fwd;Under keel clearance aft;Current speed;Current direction;True wind speed;True wind direction;Relative wind speed;Relative wind direction;Significant wave height;Wave direction;Longitudinal speed through the water;Transverse speed through the water;Longitudinal speed;Transverse speed;Drift angle;Surge;Surge speed;Sway;Sway speed;Heave;Heave speed;Yaw angle;Yaw rate;Roll angle;Roll rate;Pitch angle;Pitch rate;Height above the water;Latitude;Longitude;COG;SOG;Log;Set;Drift;Transverse speed at ship's bow;Transverse speed at ship's stern;Port rudder angle;Rate of turn;Port engine RPM;Starboard engine RPM;Port propeller pitch;Starboard propeller pitch;Bow thruster gained power;Stern thruster gained power;Heading;Wind effect. Longitudinal force;Wind effect. Lateral force;Wind effect. Pitching moment;Hydrodynamics. Longitudinal force;Hydrodynamics. Lateral force;Hydrodynamics. Pitching moment;Wave effect. Longitudinal force;Wave effect. Lateral force;Wave effect. Pitching moment;Ship-Bank interaction. Longitudinal force;Ship-Bank interaction. Lateral force;Ship-Bank interaction. Pitching moment;Fender. Longitudinal force;Fender. Lateral force;Fender. Pitching moment;Total force from all the mooring lines. Longitudinal force;Total force from all the mooring lines. Lateral force;Total force from all the mooring lines. Pitching moment;Port anchor. Longitudinal force;Port anchor. Lateral force;Port anchor. Pitching moment;Starboard anchor. Longitudinal force;Starboard anchor. Lateral force;Starboard anchor. Pitching moment;Ship-Ship interaction. Longitudinal force;Ship-Ship interaction. Lateral force;Ship-Ship interaction. Pitching moment;Propeller. Longitudal force;Propeller. Lateral force;Propeller. Pitching moment;Bow thruster. Longitudinal force;Bow thruster. Lateral force;Bow thruster. Pitching moment;Stern thruster. Longitudinal force;Stern thruster. Lateral force;Stern thruster. Pitching moment;Rudders (all). Longitudal force;Rudders (all). Lateral force;Rudders (all). Pitching moment;ALPHA Ship state;ALPHA Heading;ALPHA Latitude;ALPHA Longitude;CHARLIE Ship state;CHARLIE Heading;CHARLIE Latitude;CHARLIE Longitude;BRAVO Ship state;BRAVO Heading;BRAVO Latitude;BRAVO Longitude
0;00:00:00;Off;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;7.83;7.83;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;359.96;-1.4;359.95;-0.0;-0.17;57.682758;11.832777;258.92;7.83;7.83;169.02;0.01;-0.01;-0.01;0.00;0.0;104.0;105.0;95.0;95.0;0.0;0.0;259.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Running;263.00;57.678789;11.783547;Running;259.00;57.682758;11.832777;Running;32.00;57.573749;11.627251
1;00:00:01;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;11.00;14.70;6.89;6.76;7.81;7.94;0.00;0.00;1.03;0.00;7.70;7.50;0.10;0.00;-0.01;7.83;7.83;-0.01;0.06;1.66;0.00;-0.00;0.00;0.00;0.00;0.00;0.0;359.95;-1.0;359.96;1.4;-0.17;57.682746;11.832667;258.93;7.83;7.83;169.01;0.01;-0.01;-0.01;0.00;0.0;105.0;105.0;95.0;95.0;0.0;0.0;259.00;-2.91;-2.30;-60.12;-80.16;1.43;18.14;-0.00;0.00;0.00;0.00;-0.02;-3.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;74.36;0.00;-0.70;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;-0.00;0.35;Running;263.00;57.678782;11.783441;Running;259.00;57.682746;11.832667;Running;32.00;57.573801;11.627311
2;00:00:02;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;19.00;14.70;6.85;6.78;7.85;7.92;0.00;0.00;1.03;0.00;7.70;7.50;0.10;0.00;-0.01;7.83;7.83;-0.01;0.08;4.43;-0.00;-0.01;-0.00;0.01;0.01;0.00;0.0;359.93;-0.5;359.98;1.8;-0.16;57.682733;11.832537;258.92;7.83;7.83;169.00;0.01;-0.01;-0.01;0.00;0.0;106.0;106.0;95.0;95.0;0.0;0.0;259.00;-2.91;-2.30;-60.00;-80.10;1.72;13.30;-0.00;0.00;0.00;0.00;-0.01;-3.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;76.52;0.00;-0.67;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;0.01;-0.98;Running;263.00;57.678774;11.783317;Running;259.00;57.682733;11.832537;Running;32.00;57.573862;11.627382
3;00:00:03;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;27.00;14.70;6.81;6.80;7.89;7.90;0.00;0.00;1.03;0.00;7.69;7.50;0.10;0.00;-0.01;7.82;7.82;-0.01;0.09;5.44;-0.00;-0.01;-0.00;0.01;0.01;0.00;0.0;359.93;-0.2;0.01;1.1;-0.15;57.682719;11.832408;258.91;7.82;7.82;169.00;0.01;-0.01;-0.01;0.00;0.1;107.0;107.0;95.0;95.0;0.0;0.0;259.00;-2.90;-2.30;-59.89;-79.98;1.94;6.60;0.01;0.00;0.00;0.00;-0.01;-3.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;79.71;0.00;-0.65;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;0.05;-3.94;Running;263.00;57.678766;11.783193;Running;259.00;57.682719;11.832408;Running;31.98;57.573923;11.627453
4;00:00:04;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;35.00;14.70;6.79;6.83;7.91;7.87;0.00;0.00;1.03;0.00;7.69;7.50;0.10;0.00;-0.01;7.82;7.82;-0.01;0.10;5.81;-0.01;-0.01;-0.00;-0.00;-0.02;0.00;0.0;359.93;0.0;0.02;0.1;-0.16;57.682706;11.832279;258.91;7.82;7.82;169.00;0.01;-0.01;-0.02;0.00;0.1;107.0;107.0;95.0;95.0;0.0;0.0;259.00;-2.90;-2.29;-59.79;-79.83;2.10;-0.68;-0.00;0.00;0.00;0.00;0.00;-3.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;82.84;0.00;-0.64;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;0.10;-7.51;Running;262.99;57.678758;11.78307;Running;259.00;57.682706;11.832279;Running;31.95;57.573983;11.627525
5;00:00:05;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;42.00;14.70;6.80;6.84;7.90;7.86;0.00;0.00;1.03;0.00;7.68;7.40;0.10;0.00;-0.01;7.81;7.81;-0.01;0.10;5.95;-0.01;-0.01;-0.00;-0.01;-0.01;0.00;0.0;359.93;0.3;0.01;-0.9;-0.17;57.682692;11.832149;258.90;7.81;7.81;169.01;0.01;-0.01;-0.02;0.00;0.1;108.0;108.0;95.0;95.0;0.0;0.0;259.00;-2.90;-2.29;-59.73;-79.73;2.21;-7.78;-0.00;0.00;0.00;0.00;0.01;-3.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;85.34;0.00;-0.62;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;0.15;-11.30;Running;262.99;57.67875;11.782946;Running;259.00;57.682692;11.832149;Running;31.88;57.574044;11.627597
6;00:00:06;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;50.00;14.70;6.81;6.82;7.89;7.88;0.00;0.00;1.03;0.00;7.68;7.40;0.10;0.00;-0.01;7.82;7.82;-0.01;0.10;6.00;-0.01;-0.01;-0.00;-0.00;0.01;0.01;0.0;359.93;0.2;0.00;-1.0;-0.16;57.682679;11.83202;258.90;7.82;7.82;169.01;0.01;-0.01;-0.02;0.00;0.1;108.0;108.0;95.0;95.0;0.0;0.0;259.01;-2.90;-2.29;-59.70;-79.72;2.26;-14.12;0.01;0.00;0.00;0.00;0.02;-3.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;86.81;0.00;-0.60;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;0.19;-14.97;Running;262.99;57.678742;11.782822;Running;259.01;57.682679;11.83202;Running;31.79;57.574105;11.627669
7;00:00:07;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;58.00;14.70;6.82;6.79;7.88;7.91;0.00;0.00;1.03;0.00;7.69;7.40;0.10;0.00;-0.01;7.82;7.82;-0.01;0.10;6.01;-0.00;-0.01;-0.00;0.01;0.01;0.01;0.0;359.93;0.2;359.99;-0.6;-0.15;57.682665;11.831891;258.91;7.82;7.82;169.01;0.01;-0.01;-0.02;0.00;0.1;109.0;109.0;95.0;95.0;0.0;0.0;259.01;-2.90;-2.29;-59.71;-79.78;2.29;-19.16;-0.01;0.00;0.00;0.00;0.03;-4.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;87.84;0.00;-0.59;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;0.24;-18.27;Running;262.99;57.678733;11.782698;Running;259.01;57.682665;11.831891;Running;31.67;57.574166;11.627741
8;00:00:08;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;66.00;14.70;6.83;6.78;7.87;7.92;0.00;0.00;1.03;0.00;7.69;7.40;0.10;0.00;-0.01;7.82;7.82;-0.01;0.10;6.02;-0.00;-0.01;-0.00;0.00;-0.01;0.01;0.0;359.94;0.2;359.98;-0.1;-0.16;57.682652;11.831761;258.91;7.82;7.82;169.01;0.01;-0.01;-0.02;0.00;0.2;109.0;109.0;95.0;95.0;0.0;0.0;259.01;-2.90;-2.29;-59.73;-79.89;2.30;-22.74;0.01;0.00;0.00;0.00;0.02;-4.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88.64;0.00;-0.57;0.00;0.00;0.00;0.00;0.00;0.00;-1.56;0.28;-21.34;Running;262.99;57.678725;11.782575;Running;259.01;57.682652;11.831761;Running;31.53;57.574228;11.627813
9;00:00:09;On;259.00;70.0;70.0;0.00;0.00;0.00;0.0;0.0;74.00;14.70;6.85;6.80;7.85;7.90;0.00;0.00;1.03;0.00;7.69;7.40;0.10;0.00;-0.01;7.83;7.83;-0.01;0.10;6.03;0.00;-0.01;-0.00;-0.01;-0.02;0.01;0.0;359.94;0.1;359.98;0.4;-0.17;57.682638;11.831632;258.91;7.83;7.83;169.02;0.01;-0.01;-0.02;0.00;0.2;109.0;109.0;95.0;95.0;0.0;0.0;259.01;-2.90;-2.29;-59.76;-80.00;2.30;-24.72;-0.00;0.00;0.00;0.00;0.02;-4.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88.92;0.00;-0.55;0.00;0.00;0.00;0.00;0.00;0.00;-1.57;0.34;-25.87;Running;262.99;57.678717;11.782451;Running;259.01;57.682638;11.831632;Running;31.37;57.574289;11.627886
